date,month,day,year
2003-04-27,4,27,2003
2003-04-26,4,26,2003
2003-04-22,4,22,2003
2003-04-24,4,24,2003
2020-04-30,4,30,2020
2003-04-21,4,21,2003
2003-04-20,4,20,2003
2003-04-25,4,25,2003
2003-03-30,3,30,2003
2003-04-10,4,10,2003
2003-04-06,4,6,2003
2003-04-16,4,16,2003
2003-04-15,4,15,2003
2003-04-14,4,14,2003
2003-04-15,4,15,2003
2003-04-15,4,15,2003
2003-04-11,4,11,2003
2003-04-13,4,13,2003
2003-04-15,4,15,2003
2003-04-16,4,16,2003
2003-04-10,4,10,2003
2003-04-13,4,13,2003
2003-04-10,4,10,2003
2003-04-13,4,13,2003
2003-04-06,4,6,2003
2003-04-08,4,8,2003
2003-04-07,4,7,2003
2003-04-27,4,27,2003
2003-04-26,4,26,2003
2003-04-27,4,27,2003
2003-04-27,4,27,2003
2003-04-27,4,27,2003
2003-04-25,4,25,2003
2003-04-26,4,26,2003
1930-04-29,4,29,1930
2003-04-29,4,29,2003
2003-04-26,4,26,2003
2003-04-10,4,10,2003
2003-04-05,4,5,2003
1997-02-12,2,12,1997
2003-04-23,4,23,2003
2003-04-25,4,25,2003
2003-04-29,4,29,2003
2003-04-20,4,20,2003
2003-04-22,4,22,2003
2003-04-25,4,25,2003
2003-04-22,4,22,2003
2003-04-22,4,22,2003
2003-04-16,4,16,2003
2003-04-20,4,20,2003
2003-04-20,4,20,2003
2003-04-20,4,20,2003
2003-04-19,4,19,2003
2003-04-18,4,18,2003
2003-04-18,4,18,2003
2001-12-02,12,2,2001
2011-12-11,12,11,2011
2003-04-01,4,1,2003
2003-04-25,4,25,2003
2003-04-24,4,24,2003
2003-04-23,4,23,2003
2003-04-22,4,22,2003
2003-04-20,4,20,2003
2003-04-21,4,21,2003
2003-04-20,4,20,2003
2003-04-22,4,22,2003
2003-04-20,4,20,2003
2003-04-14,4,14,2003
1905-06-16,6,16,1905
2003-04-12,4,12,2003
2002-04-08,4,8,2002
2003-04-09,4,9,2003
2003-04-01,4,1,2003
2003-03-01,3,1,2003
2003-04-27,4,27,2003
1993-03-01,3,1,1993
1990-01-01,1,1,1990
1993-01-01,1,1,1993
2003-04-27,4,27,2003
1996-01-01,1,1,1996
1905-06-18,6,18,1905
2003-03-30,3,30,2003
2003-04-01,4,1,2003
2001-12-22,12,22,2001
1991-01-01,1,1,1991
1992-01-01,1,1,1992
1987-01-01,1,1,1987
1988-01-01,1,1,1988
1989-01-01,1,1,1989
1990-01-01,1,1,1990
1991-01-01,1,1,1991
1992-01-01,1,1,1992
