cluster,location,person,x,y
0,"15,3,94,98,1","1,9,13",-0.146566786,-0.328652164
1,"78,15,94,98,1","9,13,14",-0.340784424,-0.304264565
2,"78,91,1,98,76,15,3,70","9,13,17",-0.158292184,-0.527552435
3,"56,3,38,75","20,36,41,47,48",0.421626649,-0.61359974
4,"13,89,70,1","7,15,24",0.367742839,0.057637727
5,"95,15,98,94,1","1,13,14",-0.278575836,-0.162268187
6,"80,94,74,24,20,18,64,58,65,51,48,6","23,25,26,43",-0.00668314,0.644064888
7,"59,41,90,60,44,28,79","6,8,10,42",-0.400034473,0.636442612
8,"39,34","1,35,41",0.647536596,-0.261024642
9,"14,1,94,98,78,89,37,95","13,14,46",-0.525323984,-0.203909888
10,"73,74,54,87,62","29,31,33",0.368198377,0.629571629
11,"68,98,15,33,55,4","14,28,45",-0.585627391,0.173286877
12,"69,70,76,66,57,102,8","24,39,40",0.636783756,0.260267888
